"GAL","Schulte-Ostermann","Tobias","Dipl.-Kaufmann","1978","23552","Lübeck"
"Die Unabhängigen","Philipsen","Sibylle","Wirtschaftsprüferin","1978","23560","Lübeck"

"CDU","Röttger","Paul-Gerhard","Landwirt","1964","23560","Lübeck"
"SPD","Candan","Aydın","Selbstständig / Eventmanager","1973","23556","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Helbing","Johanna","Kommunikationsreferentin","1995","23558","Lübeck"
"FDP","Dr. Walther","Axel","Facharzt für Nervenheilkunde","1969","23560","Lübeck"
"AfD","Dr. Vieler","Werner","Chirurg","1954","23556","Lübeck"
"DIE LINKE","Schulze","Sigrun","Buchhändlerin / Rentnerin","1943","23560","Lübeck"
"FREIE WÄHLER","Kirsch","Katja","Angestellte","1965","23570","Lübeck"
"Die PARTEI","Berrakkarasu","Kore","Taxiunternehmer","1966","23560","Lübeck"
"dieBasis","Krain","Ute","Rentner","1941","23552","Lübeck"
"Die Humanisten","Richter","Martin","Informatiker","1988","23560","Lübeck"
"BfL","Zöllner","Gordon","Kaufmann","1958","23570","Lübeck"
"GAL","Aberle","Kristina","Arbeitsvermittlerin öffentlicher Dienst","1990","23556","Lübeck"
"Die Unabhängigen","Nölck","Helmut","Lehrer","1954","23556","Lübeck"

"CDU","Steffen","Barbara","Hausfrau","1962","23560","Lübeck"
"SPD","Brozio","Philip","Softwareentwickler","1995","23558","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Burakowski","Karin","Erzieherin","1971","23558","Lübeck"
"FDP","Kerlin","Daniel","Dipl. Ingenieur","1982","23558","Lübeck"
"AfD","Kröplin","Andreas","Unternehmer / Kaufmann","1960","23568","Lübeck"
"DIE LINKE","Jürrens","Inko","Student","1999","23558","Lübeck"
"FREIE WÄHLER","Wendtland","Jeannette","Beamtin","1964","23558","Lübeck"
"Die PARTEI","Ertüfek","Gürhan","Kraftfahrer","1982","23558","Lübeck"
"dieBasis","Krain","Peter","Grafiker","1943","23552","Lübeck"
"Volt","Nöthling","Patrick","Strategischer Einkäufer","1989","23564","Lübeck"
"BfL","Möller","Bernd","Rentner","1960","23569","Lübeck"
"GAL","Eickhoff","Hermann","Grafiker","1952","23552","Lübeck"
"Die Unabhängigen","Szampański","Georg","Feinmechaniker","1954","23558","Lübeck"

"CDU","Kniese","Berit","Rechtsreferendarin","1995","23564","Lübeck"
"SPD","Pluschkell","Ulrich","Eisenbahner","1954","23570","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Kleyer","André","Informatiker","1981","23570","Lübeck"
"FDP","Brühl","Alexander","Wissenschaftlicher MA UNI","Lübeck","1977","23558","Lübeck"
"AfD","Stappen","Markus","Dipl. Verwaltungswirt","1970","23560","Lübeck"
"DIE LINKE","Mohme","Thomas","Pflegegutachter","1970","23552","Lübeck"
"FREIE WÄHLER","Ising","Sebastian","Sales Advisor","1980","23558","Lübeck"
"Die PARTEI","Wegner","Paul","Auszubildender","1995","23564","Lübeck"
"dieBasis","Ahrens","Klaus-Peter","Journalist i. R.","1950","23564","Lübeck"
"Volt","Kukowski","Klara","Studentin","2000","23552","Lübeck"
"BfL","Burmeister","Jessica","Architektin","1982","23554","Lübeck"
"GAL","Kandulla","Astrid","Sozialarbeiterin i. R.","1950","23552","Lübeck"
"Die Unabhängigen","Heidemann","Frank","Geschäftsführer","1962","23558","Lübeck"

"CDU","Krause","Stefan","Geschäftsführer","1964","23558","Lübeck"
"SPD","Papenfuß","Tim","Lehrer","1980","23558","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Trense","Yves","Biologe","1982","23556","Lübeck"
"FDP","Rathcke","Thomas","Vertriebsingenieur","1971","23556","Lübeck"
"AfD","Frank","Andrej","Diplom Ingenieur","1980","23560","Lübeck"
"DIE LINKE","Fechtner","Alrun","Rentner","1951","23556","Lübeck"
"PIRATEN","Horstmann","Werner","Versicherungsmakler","1951","23556","Lübeck"
"FREIE WÄHLER","Farell","Monika","Unternehmerin","1959","23556","Lübeck"
"Die PARTEI","Erdmann","Katja","Abteilungsleiterin","1975","23556","Lübeck"
"dieBasis","Gutsche","Ramona","Rentnerin","1955","23556","Lübeck"
