"DIE LINKE","Mohme","Thomas","Pflegegutachter","1970","23552","Lübeck","14"
"FREIE WÄHLER","Ising","Sebastian","Sales Advisor","1980","23558","Lübeck","14"
"Die PARTEI","Wegner","Paul","Auszubildender","1995","23564","Lübeck","14"
"dieBasis","Ahrens","Klaus-Peter","Journalist i. R.","1950","23564","Lübeck","14"
"Volt","Kukowski","Klara","Studentin","2000","23552","Lübeck","14"
"BfL","Burmeister","Jessica","Architektin","1982","23554","Lübeck","14"
"GAL","Kandulla","Astrid","Sozialarbeiterin i. R.","1950","23552","Lübeck","14"
"Die Unabhängigen","Heidemann","Frank","Geschäftsführer","1962","23558","Lübeck","14"
"CDU","Krause","Stefan","Geschäftsführer","1964","23558","Lübeck","15"
"SPD","Papenfuß","Tim","Lehrer","1980","23558","Lübeck","15"
"BÜNDNIS 90/DIE GRUENEN","Trense","Yves","Biologe","1982","23556","Lübeck","15"
"FDP","Rathcke","Thomas","Vertriebsingenieur","1971","23556","Lübeck","15"
"AfD","Frank","Andrej","Diplom Ingenieur","1980","23560","Lübeck","15"
"DIE LINKE","Fechtner","Alrun","Rentner","1951","23556","Lübeck","15"
"PIRATEN","Horstmann","Werner","Versicherungsmakler","1951","23556","Lübeck","15"
"FREIE WÄHLER","Farell","Monika","Unternehmerin","1959","23556","Lübeck","15"
"Die PARTEI","Erdmann","Katja","Abteilungsleiterin","1975","23556","Lübeck","15"
"dieBasis","Gutsche","Ramona","Rentnerin","1955","23556","Lübeck","15"
"BfL","Teichert","Beate","Hausverwalterin","1949","23566","Lübeck","15"
"GAL","Schubert","Hans-Jürgen","Lehrkraft","1945","23554","Lübeck","15"
"Die Unabhängigen","Stolzenberg","Hella","Lehrerin","1970","23560","Lübeck","15"
"DKP","Gädt","Wolfgang","Kfz-Elektriker","1961","23558","Lübeck","15"
"CDU","Klenz","Étienne André","Schüler","2003","23570","Lübeck","16"
"SPD","Dr. Lengen","Marek","Beamter","Dr. rer. nat.","1965","23556","Lübeck","16"
"BÜNDNIS 90/DIE GRUENEN","D'Amico","Kimberly","Rechtsanwältin / Notarin","1972","23564","Lübeck","16"
"FDP","Waghals","Johannes","Techn. Sachbearbeiter Explosionsschutz","1992","23556","Lübeck","16"
"AfD","Marten","Oliver","Kaufmännischer Angestellter","1968","23560","Lübeck","16"
"DIE LINKE","Bochynski","Hans-Peter","Rentner","1953","23556","Lübeck","16"
"FREIE WÄHLER","Farell","Saad","Selbstständig","1964","23556","Lübeck","16"
"Die PARTEI","Jürk","Madita","Social Media Managerin","1996","23554","Lübeck","16"
"Volt","Fischer","Marcel","Student","1992","23558","Lübeck","16"
"BfL","Kloss","Elvira","Dolmetscherin","1954","23570","Lübeck","16"
"GAL","Freitag","Uwe","Fotograf","1964","23556","Lübeck","16"
"Die Unabhängigen","Grocholski","Mathias","Finanzbeamter","1962","23556","Lübeck","16"
"DKP","Barg","Hans-Joachim","Fachverkäufer","1964","23552","Lübeck","16"
"CDU","Rohlf","Klaus","Unternehmer","1954","23568","Lübeck","17"
"SPD","Blankenburg","Kristin","Kindheitspädagogin","1987","23562","Lübeck","17"
"BÜNDNIS 90/DIE GRUENEN","Dr. Lorentzen","Catharina","Fachärztin für Frauenheilkunde i. R.","1957","23570","Lübeck","17"
