"DIE LINKE","Röpke","Kai","Feuerwehrmann","1980","deutsch","24943","Flensburg","14"
"dieBasis","Ingwersen-Möller","Stephanie","Wellnessmasseurin","1967","deutsch","24937","Flensburg","14"
"Volt","Larsen","Kira Lynn","Studentin","1999","deutsch","24943","Flensburg","14"
"BüsoS","Ritter","Gabriele","Kauffrau für Bürokommunikation","1959","deutsch","24943","Flensburg","14"
"Flensburg WÄHLEN!","Richter","Regina","Angestellte","1960","deutsch","24943","Flensburg","14"
"WiF","Rothgaenger","Fenja Alaja","Schülerin","2004","deutsch","24943","Flensburg","14"
"CDU","Petersen","Marquardt","Selbstständiger Unternehmer","1996","deutsch","24943","Flensburg","15"
"BÜNDNIS 90/DIE GRÜNEN","Karkossa","Stefanie","Personalsachbearbeiterin","1977","deutsch","24943","Flensburg","15"
"SPD","Klebe","Justus","Lehrer, Referendariat","1998","deutsch","24937","Flensburg","15"
"FDP","Schlagböhmer","Timo","Student","2001","deutsch","24943","Flensburg","15"
"SSW","Blumenberg","Michaela","Buchhalterin","1978","deutsch","24939","Flensburg","15"
"DIE LINKE","Block","Marvin","Student","1995","deutsch","24939","Flensburg","15"
"dieBasis","Drescher","Frank","Warehouse Manager","1964","deutsch","24943","Flensburg","15"
"Volt","Vetter","Fabian","Student","1997","deutsch","24937","Flensburg","15"
"BüsoS","Strauchmann","Rüdiger","Dipl.-Ing. Maschinenbau","1950","deutsch","24943","Flensburg","15"
"Flensburg WÄHLEN!","Goral","Patricia","med. Fachangestellte","1980","deutsch","24943","Flensburg","15"
"WiF","Dr. Klose","Jörg","Rechtsanwalt","1959","deutsch","24943","Flensburg","15"
"CDU","Hartmann","Roland","Projektmanager","1968","deutsch","24944","Flensburg","16"
"BÜNDNIS 90/DIE GRÜNEN","Scherdin","Arndt","Bauzeichner","1969","deutsch","24937","Flensburg","16"
"SPD","Matz","Peter-Florian","Geschäftsführer","1977","deutsch","24943","Flensburg","16"
"FDP","Wohlsen","Eileen","Erzieherin in Ausbildung","2002","deutsch","24943","Flensburg","16"
"SSW","Möller","Katrin","Angestellte im ö. D.","1982","deutsch","24941","Flensburg","16"
"DIE LINKE","Parzentny","Hauke","Kundenberater","1991","deutsch","24939","Flensburg","16"
"dieBasis","Harnisch","Marko","Maler und Lackierer","1970","deutsch","24943","Flensburg","16"
"BüsoS","Wendelken","Aurelius","Software Entwickler","1986","deutsch","24943","Flensburg","16"
"Flensburg WÄHLEN!","Carstensen","Angelika","Rentnerin","1955","deutsch","24943","Flensburg","16"
"WiF","Rothgaenger","Andreas","Industriemeister Elektrotechnik","1973","deutsch","24943","Flensburg","16"
"CDU","Dommenget-Stappert","Gabriele","Kunst- und Kulturvermittlerin","1965","deutsch","24944","Flensburg","17"
"BÜNDNIS 90/DIE GRÜNEN","Bahnsen","Karsten","Politischer Mitarbeiter","1989","deutsch","24937","Flensburg","17"
"SPD","Kienaß","Cynthia","Kitaleitung/Kindheitspädagogin","1976","deutsch","24937","Flensburg","17"
"FDP","Bergmann","Jens","Augenoptikermeister und Hörgeräteakustikermeister","1966","deutsch","24944","Flensburg","17"
"SSW","Bethge","Lars Erik","Museumsleiter","1970","deutsch","24943","Flensburg","17"
"DIE LINKE","Weise","Sönke","Servicekraft","1984","deutsch","24944","Flensburg","17"
"dieBasis","Müller","Sibylle","Hausfrau","1969","deutsch","24941","Flensburg","17"
"BüsoS","Thomsen-Marwitz","Ursula","Freiberufliche Demokratiekompetenztrainerin","1952","deutsch","24943","Flensburg","17"
"Flensburg WÄHLEN!","Hecht","Wieland","Physiotherapeut","1958","deutsch","24937","Flensburg","17"
"WiF","Bohn","Torben","Beamter","1977","deutsch","24943","Flensburg","17"
"CDU","Loell","Ralf","Key Account Manager","1960","deutsch","24941","Flensburg","18"
"BÜNDNIS 90/DIE GRÜNEN","Quarck","Ulrich","Pensionär","1964","deutsch","24943","Flensburg","18"
"SPD","Kröber","Rainer","Elektromeister","1958","deutsch","24944","Flensburg","18"
"FDP","Dr. Rehkamp","Christoph","Arzt","1975","deutsch","24941","Flensburg","18"
"SSW","Dirschauer","Christian","Dipl.-Verwaltungswirt (FH)","1981","deutsch","24943","Flensburg","18"
"DIE LINKE","Fritz Otto","Fritz Otto","Nautiker","1957","deutsch","24944","Flensburg","18"
"dieBasis","Jochims","Gardy","Rentnerin","1956","deutsch","24944","Flensburg","18"
"BüsoS","Niedrich","Lea","Staatlich anerkannte Vermessungstechnikerin","1981","deutsch","24944","Flensburg","18"
"Flensburg WÄHLEN!","Gusinova","Nadeshda","Dipl.-Pädagogin","1959","deutsch","24939","Flensburg","18"
"WiF","Kopsch","Gerda","Rentnerin","1947","deutsch","24937","Flensburg","18"
"CDU","Dethleffsen","Thomas","Kaufmann","1973","deutsch","24944","Flensburg","19"
"BÜNDNIS 90/DIE GRÜNEN","Gebhardt","Sven","Student","1995","deutsch","24944","Flensburg","19"
"SPD","Christiansen","Lars","Handwerksmeister","1983","deutsch","24944","Flensburg","19"
"FDP","Meißner","Christoph","Finanzbeamter im Ruhestand","1960","deutsch","24943","Flensburg","19"
"SSW","Meyer","Rasmus","Pressesprecher","1980","deutsch","24939","Flensburg","19"
"DIE LINKE","Stadie","Dennis Volkan","Mechatroniker","1990","deutsch","24943","Flensburg","19"
"dieBasis","Krieger","Armin","Rentner","1936","deutsch","24943","Flensburg","19"
"BüsoS","Pietza","Alfred","Berufssoldat d. R.","1958","deutsch","24944","Flensburg","19"
"Flensburg WÄHLEN!","Titajeff","Viktorija","Modedesignerin","1962","deutsch","24939","Flensburg","19"
"WiF","Kopsch","Peter","Rentner","1940","deutsch","24943","Flensburg","19"
"CDU","Strümpel","Bernd","Auszubildender","1982","deutsch","24939","Flensburg","20"
"BÜNDNIS 90/DIE GRÜNEN","Schmidt","Clemens","Projektmanager","1989","deutsch","24937","Flensburg","20"
"SPD","Kohrt","Axel","Rentner","1956","deutsch","24943","Flensburg","20"
"FDP","Rode-Kuhlig","Susanne","Hotelkauffrau imRuhestand","1952","deutsch","24944","Flensburg","20"
"SSW","Kring","Anders","Geschäftsführer","1963","deutsch","24943","Flensburg","20"
"DIE LINKE","Hummel","Lucian","Schüler","2003","deutsch","24944","Flensburg","20"
"dieBasis","Krieger","Karin","Rentnerin","1943","deutsch","24939","Flensburg","20"
"BüsoS","Jürgensen","Robert","Angestellter","1966","deutsch","24937","Flensburg","20"
"Flensburg WÄHLEN!","Fürstenberg-Nicolaisen","Marina","Dipl.-Ökonomin","1962","deutsch","24944","Flensburg","20"
"WiF","Cieplik","Silke","Rentnerin","1956","deutsch","24944","Flensburg","20"
"CDU","Dr. Stisser-Kleist","Davina","Juristin","1985","deutsch","24939","Flensburg","01"
"BÜNDNIS 90/DIE GRÜNEN","Jetchev","Isabell","Selbstständig","1990","deutsch","24937","Flensburg","01"
"SPD","Bentfeld","Carlson","Gas- und Wasserinstallateur","1979","deutsch","24939","Flensburg","01"
"FDP","Jacobs","Alina","Studentin","2001","deutsch","24937","Flensburg","01"
"SSW","Dürkop","Daniel","Journalist","1973","deutsch","24939","Flensburg","01"
"DIE LINKE","Gyarmaty","Kim Aaron","Telefonagent","1993","deutsch","24937","Flensburg","01"
"dieBasis","Möller-Loko","Ulrike","Bürokauffrau","1966","deutsch","24943","Flensburg","01"
"Volt","Brodersen","Laura","Online Marketing Managerin","1997","deutsch","24937","Flensburg","01"
"BüsoS","Paulsen","Dana","Freiberuflerin Kultur","1998","deutsch","24939","Flensburg","01"
"Flensburg WÄHLEN!","Neelsen","Alexandra","Speditionskauffrau","1969","deutsch","24939","Flensburg","01"
"WiF","Krappitz","Cornelia","Selbstständig","1970","deutsch","24943","Flensburg","01"
"CDU","Menke","Silvia","Dipl. Betriebswirtin FH","1963","deutsch","24943","Flensburg","02"
"BÜNDNIS 90/DIE GRÜNEN","Meschke","Iris","Grafik-Designerin und Erzieherin in Ausbildung","1969","deutsch","24941","Flensburg","02"
"SPD","Bentfeld","Jessica","Azubi Pflegefachkraft","1981","deutsch","24939","Flensburg","02"
"FDP","Faller","Paul Bryan","Pfleger","1987","deutsch","24937","Flensburg","02"
"SSW","Rosenbaum","Mats","Student","2000","deutsch","24937","Flensburg","02"
"DIE LINKE","Ludwigsen","Rudolf Johannes","Rentner","1959","deutsch","24939","Flensburg","02"
"dieBasis","Malien","Michael","Elektroniker","1962","deutsch","24939","Flensburg","02"
"Volt","Hofmann","Jennifer Christin","Studierende","2002","deutsch","24939","Flensburg","02"
"BüsoS","Scholl","Sabine","Pädagogin","1964","deutsch","24939","Flensburg","02"
"Flensburg WÄHLEN!","Hagge","Peter Heinz","Personenbeförderer","1967","deutsch","24939","Flensburg","02"
"WiF","Brau","Gerda","Rentnerin","1952","deutsch","24941","Flensburg","02"
"CDU","Röben","Bernd","Jurist","1957","deutsch","24944","Flensburg","03"
"BÜNDNIS 90/DIE GRÜNEN","Hand","Gesche","Erlebnispädagogin","1972","deutsch","24939","Flensburg","03"
"SPD","Sahsah","Karim Alexander","Krankentransport","2001","deutsch","24937","Flensburg","03"
"FDP","Kuiper","Tim Hannes","Student","1998","deutsch","24943","Flensburg","03"
"SSW","Lorenzen","Martin","Landessekretär","1963","deutsch","24939","Flensburg","03"
"DIE LINKE","Nitsch","Stephan","Arbeiter","1985","deutsch","24939","Flensburg","03"
"dieBasis","Lux","Daniel","Brief und Verbundzusteller","1985","deutsch","24939","Flensburg","03"
"BüsoS","Essner","Timo","Freier Karikaturist, Redakteur","1982","deutsch","24937","Flensburg","03"
